Primary_Name,Galaxy,Magnitude,RA_deg,DEC_deg,Angular_Size,Distance from Earth (Mpc),Distance_Modulus,Aliases
UGC 8833,UGC 8833,16.5,208.7033809,35.8354931,0.7775729894638062,3.19172051154,27.520124273026585,"['LEDA 49452', 'MCG+06-31-023', 'TC 294', 'UGC 8833', '[MI94] Im 140']"
UGC 4483,UGC 4483,15.2,129.2625,69.77528,1.0499999523162842,3.2101165951800006,27.53260403386811,"['HIJASS J0836+69', 'IRAS F08320+6957', 'KUG 0832+699', 'LEDA 24213', 'MCG+12-08-048', 'SBSG 0832+699', 'SPB 95', 'TC 106', 'UGC 4483', 'Z 331-51', '[B93] 4', '[LSK86] 73', '[M98c] 083207.0+695716', '[MI94] Im 50', 'Z 0832.1+6958', 'UZC J083703.0+694631']"
UGCA 92,UGCA 92,13.0,68.0159858,63.6142342,2.140000104904175,3.219314637,27.53881712082359,"['EGB 8', 'EGB 0427+63', 'IRAS 04275+6330', 'LEDA 15439', 'SPB 63', 'TC 479', 'UGCA 92', '[VDD93] 41']"
IC 342,IC 342,9.37,56.702142,68.096106,21.8799991607666,3.2806349158,27.579789513899943,"['[HSN2016] J056.70+68.09', 'WISE J034648.35+680546.5', '2E 848', '2E 0342.0+6756', 'DW 0341+67', 'IC 342', 'IRAS F03419+6756', 'IRAS 03419+6756', 'LEDA 13826', 'MCG+11-05-003', 'TC 668', 'UGC 2847', 'Z 0342.0+6757', 'Z 305-2', 'ZOAG G138.17+10.58', '[VDD93] 33', '2MASX J03464851+6805459', '[CHM2007] LDC 264 J034648.51+6805459', '[CHM2007] HDC 296 J034648.51+6805459', '[M98c] 034158.6+675626', 'UZC J034648.9+680546', 'PSCz Q03419+6756']"
UGCA 105,UGCA 105,13.9,78.56385035277,62.57999025129,0.8299999833106995,3.3910114176400006,27.6516462603173,"['Gaia DR3 285918141855877504', 'AGC 150027', '2MASX J05141534+6234479', 'IRAS 05096+6231', 'LEDA 16957', 'UGCA 105', 'Z 283-4', '[MI94] Im 32', '[VDD93] 45', 'Z 0509.6+6231', '[CHM2007] HDC 296 J051415.34+6234479', '[CHM2007] LDC 264 J051415.34+6234479', 'UZC J051414.3+623435', 'Gaia DR2 285918141855877504']"
NGC 5102,NGC 5102,10.35,200.49004201348,-36.6301097656,9.550000190734863,3.40020945946,27.6575283562197,"['LVHIS 046', '[QPD2020] G132157.5-363748', 'Gaia DR3 6165703218750983296', 'HIPASS J1321-36', 'AM 1319-362', 'ESO 382-50', 'ESO-LV 382-0500', 'GLXY G309.7+25.8+463', 'IRAS F13191-3622', 'IRAS 13191-3622', 'ISOSS J13219-3637', 'LEDA 46674', 'MCG-06-29-031', 'NGC 5102', '[M98c] 131907.0-362206', '[SLK2004] 830', '[VDD93] 183', 'NVSS J132158-363754', '2MASX J13215765-3637487', '[FWB89] Galaxy 344', '6dFGS gJ132157.6-363748', 'FLASH J132157.78-363747.2', 'SGC 131907-3622.2', '[CHM2007] HDC 813 J132157.65-3637487', '[CHM2007] LDC 993 J132157.65-3637487', 'PSCz Q13191-3622', 'Gaia DR2 6165703218750983296']"
NGC 5237,NGC 5237,13.23,204.412733,-42.846917,1.0269999504089355,3.40020945946,27.6575283562197,"['LVHIS 055', 'HIPASS J1337-42', 'AM 1334-423', 'ESO 270-22', 'ESO-LV 270-0220', 'GLXY G311.9+19.2+361', 'LEDA 48139', 'MCG-07-28-005', 'NGC 5237', 'RR95 253b', 'SPB 227', '2MASX J13373905-4250488', '[CHM2007] HDC 790 J133739.05-4250488', '6dFGS gJ133739.1-425049', 'SGC 133440-4235.6', '[CHM2007] LDC 993 J133739.05-4250488']"
ESO 325-11,ESO 325-11,13.99,206.2543868,-41.8627758,2.75,3.40020945946,27.6575283562197,"['LVHIS 060', 'AM 1342-413', 'HIPASS J1345-41', 'ESO 325-11', 'ESO-LV 325-0110', 'IRAS 13419-4135', 'IRAS 13420-4136', 'LEDA 48738', '[FG85] 406', '[MI94] Im 137', 'SGC 134201-4136.5', 'UKS 1342-41.6', 'PSCz Q13419-4135']"
NGC 247,NGC 247,9.9,11.785642,-20.7604,17.01889991760254,3.4032754734000004,27.659485519407188,"['ESO 540-22', 'ESO-LV 540-0220', 'GLXY G113.8-83.5+144', 'IRAS 00446-2101', 'IRAS F00446-2101', 'KUG 0044-210', 'LEDA 2758', 'MCG-04-03-005', 'NGC 247', 'UGCA 11', '[M98c] 004440.0-210200', '2MASX J00470855-2045374', 'KOS SP4 1', '[CHM2007] LDC 26 J004708.55-2045374', '6dFGS gJ004708.5-204537', 'KOS 004439.6-210200']"
ESO 540-32,ESO 540-032,16.55,12.6021,-19.9064,0.8299999833106995,3.4186055431000004,27.6692449623948,"['ESO 540-32', 'ESO-LV 540-0320', 'LEDA 2933', '[FG85] 24', '[KK98a] 004756.0-201044', '[KK98a] 10']"
